ID,Contestant,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv
0601,Jenna Morasca,4.72,12.93,0.37,9,3,73,11,0.81,3.27,6,7,0.86,2.04,13.14
0602,Matthew von Ertfelda,4.64,12.93,0.36,10,6,73,11,0.90,2.55,1,7,0.14,1.40,8.05
0603,Rob Cesternino,1.64,12.93,0.13,10,4,73,11,0.90,3.18,-,-,-,1.03,4.82
0604,Butch Lockley,0.88,11.93,0.07,7,5,70,10,0.69,2.18,-,-,-,0.77,3.05
0605,Heidi Strobel,0.95,10.93,0.09,7,3,66,9,0.77,3.11,-,-,-,0.86,4.06
0606,Christy Smith,0.81,8.93,0.09,4,9,61,8,0.48,1.08,-,-,-,0.57,1.89
0607,Alex Bell,1.98,7.93,0.25,5,6,55,7,0.70,2.00,-,-,-,0.95,3.98
0608,Deena Bennett,2.05,6.93,0.30,5,6,48,6,0.81,2.33,-,-,-,1.11,4.39
0609,Dave Johnson,2.21,4.93,0.45,2,8,40,5,0.36,0.93,-,-,-,0.81,3.14
0610,Roger Sexton,0.88,2.60,0.34,3,11,31,4,0.66,1.40,-,-,-,1.00,2.28
0611,Shawna Mitchell,0.72,1.60,0.45,1,6,21,3,0.24,0.93,-,-,-,0.69,1.65
0612,Jeanne Hebert,0.55,1.20,0.46,1,5,21,3,0.25,1.04,-,-,-,0.72,1.59
0613,JoAnna Ward,0.55,1.03,0.54,0,4,15,2,-0.13,0.00,-,-,-,0.40,0.55
0614,Daniel Lue,0.14,0.70,0.21,0,7,15,2,-0.23,0.00,-,-,-,-0.03,0.14
0615,Janet Koth,0.27,0.41,0.65,0,5,8,1,-0.63,0.00,-,-,-,0.03,0.27
0616,Ryan Aiken,0.00,0.13,0.00,0,4,8,1,-0.50,0.00,-,-,-,-0.50,0.00
0701,Sandra Diaz-Twine,1.00,11.58,0.09,10,0,77,12,0.83,5.83,6,7,0.86,1.78,11.98
0702,Lillian Morris,2.03,10.78,0.19,9,9,73,11,0.81,1.76,1,7,0.14,1.14,4.65
0703,Jon Dalton,2.11,11.58,0.18,9,7,77,12,0.74,1.91,-,-,-,0.92,4.02
0704,Darrah Johnson,4.13,10.58,0.39,7,6,70,10,0.69,1.96,-,-,-,1.08,6.09
0705,Burton Roberts,4.68,9.38,0.50,5,10,52,7,0.69,1.43,-,-,-,1.19,6.11
0706,Christa Hastie,1.00,9.78,0.10,7,7,65,9,0.77,1.98,-,-,-,0.87,2.98
0707,Tijuana Bradley,1.00,8.44,0.12,5,5,55,7,0.70,2.22,-,-,-,0.82,3.22
0708,Rupert Boneham,3.34,6.44,0.52,5,7,45,6,0.81,2.12,-,-,-,1.33,5.47
0709,Ryan Opray,1.00,4.94,0.20,3,8,40,5,0.56,1.40,-,-,-,0.76,2.40
0710,Andrew Savage,0.80,2.74,0.29,3,6,31,4,0.70,2.10,-,-,-,0.99,2.90
0711,Osten Taylor,0.80,1.74,0.46,3,2*,21*,3*,0.68,1.91,-,-,-,1.14,2.71
0712,Shawn Cohen,0.94,1.74,0.54,3,5,25,4,0.70,2.33,-,-,-,1.24,3.28
