ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv,Alliance_Score,prev_ids,new_id,seasons_played,FTC
0111,Joel Klug,27.0,Male,AR,Borneo,11.0,18.0,4.0,0.375,1.0,1,16.0,1.0,0,0.89,2.07,0.43,2.0,4.0,21.0,3.0,0.6,2.33,,,,1.03,3.23,-1.0,,,,0
0112,Dirk Been,23.0,Male,WI,Borneo,12.0,15.0,4.0,0.3125,1.0,1,16.0,1.0,0,0.62,1.51,0.41,2.0,4.0,21.0,3.0,0.6,2.33,,,,1.01,2.95,-1.0,,,,0
0113,Ramona Gray,29.0,Female,NJ,Borneo,13.0,12.0,6.0,0.25,1.0,1,16.0,1.0,0,0.39,0.99,0.4,1.0,6.0,15.0,2.0,0.3,1.4,,,,0.7,1.79,-1.0,,,,0
0114,Stacey Stillman,27.0,Female,CA,Borneo,14.0,9.0,6.0,0.1875,1.0,1,16.0,1.0,0,0.29,0.68,0.42,0.0,6.0,15.0,2.0,-0.2,0.0,,,,0.22,0.29,-1.0,,,,0
0115,B.B. Andersen,64.0,Male,KS,Borneo,15.0,6.0,6.0,0.125,1.0,1,16.0,1.0,0,0.25,0.39,0.64,0.0,6.0,8.0,1.0,-0.75,0.0,,,,-0.11,0.25,-1.0,,,,0
0116,Sonja Christopher,63.0,Female,CA,Borneo,16.0,3.0,4.0,0.0625,1.0,1,16.0,1.0,0,0.0,0.13,0.0,0.0,4.0,8.0,1.0,-0.5,0.0,,,,-0.5,0.0,-1.0,,,,0
0201,Tina Wesson,39.0,Female,TN,The Australian Outback,1.0,42.0,0.0,1.0,1.0,3,16.0,2.0,1,0.59,13.09,0.05,11.0,0.0,73.0,11.0,1.0,7.0,4.0,7.0,0.57,1.62,11.02,0.5398423005565863,,,,1
0202,Colby Donaldson,26.0,Male,TX,The Australian Outback,2.0,42.0,9.0,0.9375,1.0,3,16.0,2.0,1,8.09,13.09,0.62,10.0,5.0,73.0,11.0,0.9,2.83,3.0,7.0,0.43,1.95,13.49,0.5009585652442795,,,,1
0203,Keith Famie,40.0,Male,MI,The Australian Outback,3.0,41.0,10.0,0.875,1.0,1,16.0,2.0,0,2.59,13.09,0.2,9.0,8.0,73.0,11.0,0.81,1.91,,,,1.01,4.5,0.5102556173984745,,,,0
0204,Elisabeth Filarski,23.0,Female,MA,The Australian Outback,4.0,39.0,5.0,0.8125,1.0,1,16.0,2.0,0,0.97,12.03,0.08,4.0,5.0,64.0,9.0,0.44,1.38,,,,0.52,2.35,0.5833333333333334,,,,0
0205,Rodger Bingham,53.0,Male,KY,The Australian Outback,5.0,36.0,5.0,0.75,1.0,1,16.0,2.0,0,0.57,10.03,0.06,4.0,5.0,60.0,8.0,0.49,1.56,,,,0.55,2.13,0.5992063492063492,,,,0
0206,Amber Brkich,22.0,Female,PA,The Australian Outback,6.0,33.0,6.0,0.6875,1.0,2,16.0,2.0,0,0.59,9.09,0.07,5.0,6.0,61.0,8.0,0.61,1.75,,,,0.68,2.34,0.7055555555555555,,,,0
0207,Nick Brown,23.0,Male,WA,The Australian Outback,7.0,30.0,4.0,0.625,1.0,1,16.0,2.0,0,1.97,7.03,0.28,3.0,4.0,49.0,6.0,0.49,1.75,,,,0.77,3.72,0.5607142857142858,,,,0
0208,Jerri Manthey,30.0,Female,CA,The Australian Outback,8.0,27.0,12.0,0.5625,1.0,3,16.0,2.0,0,2.09,6.09,0.34,4.0,12.0,48.0,6.0,0.63,1.17,,,,0.97,3.26,0.6919642857142856,,,,0
0209,Alicia Calaway,32.0,Female,NY,The Australian Outback,9.0,24.0,5.0,0.5,1.0,2,16.0,2.0,0,0.97,4.53,0.21,2.0,5.0,34.0,4.0,0.46,1.56,,,,0.68,2.53,1.0,,,,0
0210,Jeff Varner,34.0,Male,NY,The Australian Outback,10.0,21.0,11.0,0.4375,1.0,3,16.0,2.0,0,0.97,2.53,0.38,2.0,7.0,25.0,3.0,0.57,1.7,,,,0.96,2.67,-1.0,,,,0
0211,Michael Skupin,38.0,Male,MI,The Australian Outback,11.0,17.0,0.0,0.375,1.0,2,16.0,2.0,1,0.97,1.53,0.64,2.0,0.0,15.0,2.0,0.57,1.87,,,,1.21,2.84,-1.0,,,,0
0212,Kimmi Kappenberg,27.0,Female,NY,The Australian Outback,12.0,15.0,6.0,0.3125,1.0,2,16.0,2.0,0,0.57,1.33,0.43,1.0,6.0,15.0,2.0,0.3,1.4,,,,0.73,1.97,-1.0,,,,0
0213,Mitchell Olson,23.0,Male,NJ,The Australian Outback,13.0,12.0,6.0,0.25,1.0,1,16.0,2.0,0,0.39,0.99,0.4,2.0,4.0,21.0,3.0,0.6,2.33,,,,1.0,2.73,-1.0,,,,0
0214,Maralyn Hershey,51.0,Female,VA,The Australian Outback,14.0,9.0,5.0,0.1875,1.0,1,16.0,2.0,0,0.39,0.66,0.59,1.0,5.0,15.0,2.0,0.33,1.56,,,,0.93,1.95,-1.0,,,,0
0215,Kel Gleason,32.0,Male,TX,The Australian Outback,15.0,6.0,7.0,0.125,1.0,1,16.0,2.0,0,0.25,0.38,0.67,0.0,7.0,8.0,1.0,-0.88,0.0,,,,-0.21,0.25,-1.0,,,,0
0216,Debb Eaton,45.0,Female,NH,The Australian Outback,16.0,3.0,7.0,0.0625,1.0,1,16.0,2.0,0,0.0,0.13,0.0,0.0,7.0,8.0,1.0,-0.88,0.0,,,,-0.88,0.0,-1.0,,,,0
0301,Ethan Zohn,27.0,Male,NY,Africa,1.0,39.0,0.0,1.0,1.0,2,16.0,3.0,1,2.87,13.29,0.22,11.0,0.0,74.0,11.0,1.0,7.0,5.0,7.0,0.71,1.93,14.15,0.6702380952380953,,,,1
0302,Kim Johnson,56.0,Female,NY,Africa,2.0,39.0,1.0,0.9375,1.0,1,16.0,3.0,1,2.87,13.29,0.22,11.0,1.0,74.0,11.0,1.0,5.6,2.0,7.0,0.29,1.5,10.18,0.6702380952380953,,,,1
0303,Lex van den Berghe,38.0,Male,CA,Africa,3.0,38.0,10.0,0.875,1.0,2,16.0,3.0,0,5.87,13.29,0.44,9.0,10.0,74.0,11.0,0.81,1.64,,,,1.25,7.5,0.5239087301587302,,,,0
0304,Tom Buchanan,45.0,Male,VA,Africa,4.0,37.0,9.0,0.8125,1.0,2,16.0,3.0,0,1.67,12.29,0.14,7.0,7.0,71.0,10.0,0.69,1.78,,,,0.83,3.45,0.4805555555555556,,,,0
0305,Teresa Cooper,42.0,Female,GA,Africa,5.0,36.0,4.0,0.75,1.0,1,16.0,3.0,0,1.9,11.27,0.17,3.0,4.0,66.0,9.0,0.33,1.17,,,,0.5,3.07,0.4345238095238095,,,,0
0306,Kim Powers,29.0,Female,PA,Africa,6.0,33.0,4.0,0.6875,1.0,1,16.0,3.0,0,0.9,9.27,0.1,5.0,4.0,61.0,8.0,0.62,2.19,,,,0.71,3.09,0.5205357142857143,,,,0
0307,Frank Garrison,43.0,Male,NY,Africa,7.0,30.0,9.0,0.625,1.0,1,16.0,3.0,0,1.4,7.27,0.19,3.0,9.0,55.0,7.0,0.41,0.92,,,,0.6,2.33,0.4707482993197279,,,,0
0308,Brandon Quinton,25.0,Male,TX,Africa,8.0,27.0,6.0,0.5625,1.0,1,16.0,3.0,0,1.4,6.27,0.22,4.0,6.0,48.0,6.0,0.65,1.87,,,,0.87,3.27,0.4533333333333333,,,,0
0309,Kelly Goldsmith,22.0,Female,CA,Africa,9.0,24.0,5.0,0.5,1.0,1,16.0,3.0,0,0.87,4.79,0.18,4.0,5.0,41.0,5.0,0.78,2.49,,,,0.96,3.36,0.5805555555555556,,,,0
0310,Clarence Black,24.0,Male,MI,Africa,10.0,21.0,12.0,0.4375,1.0,1,16.0,3.0,0,0.87,2.79,0.31,2.0,12.0,32.0,4.0,0.41,0.88,,,,0.72,1.74,0.75,,,,0
0311,Lindsey Richter,26.0,Female,OR,Africa,11.0,18.0,12.0,0.375,1.0,1,16.0,3.0,0,0.9,1.77,0.51,2.0,7.0,21.0,3.0,0.56,1.7,,,,1.07,2.6,-1.0,,,,0
